Issuer,Ticker,Name,Stars,Risk,Medal,ESG Globes,12h Flow,6h Flow,2h Flow,1h Flow,30m Flow,10m Flow
SPDR,SPYX,State Street® SPDR® S&P® 500 Fossil Fuel Reserves Free ETF,4,Average,Bronze,4.0,38.1,38.1,38.1,38.1,34.2,13.0
SPDR,SPEU,State Street® SPDR® Portfolio Europe ETF,4,Below Average,Bronze,2.0,37.7,37.7,37.7,37.2,52.8,61.4
JPMorgan,BBIN,JPMorgan BetaBuilders International Equity ETF,4,Average,Bronze,3.0,37.6,37.6,37.6,37.6,37.7,38.5
Invesco,PRF,Invesco RAFI US 1000 ETF,4,Average,Silver,3.0,37.5,37.5,35.8,44.3,49.8,72.2
First Trust,MMSC,First Trust Multi-Manager Small Cap Opportunities ETF,5,Average,Neutral,2.0,37.4,37.4,37.4,37.4,37.4,37.4
iShares,AOR,iShares Core 60/40 Balanced Allocation ETF,4,Below Average,Silver,3.0,37.4,37.4,34.7,35.4,35.3,32.8
Invesco,EQWL,Invesco S&P 100 Equal Weight ETF,5,Average,Silver,3.0,37.3,37.3,37.3,34.0,9.3,2.4
BlackRock,DSU,BlackRock Debt Strategies Fund Inc,5,Below Average,,,36.9,36.9,36.9,36.1,41.2,6.8
iShares,IAI,iShares U.S. Broker-Dealers & Securities Exchanges ETF,5,Average,Neutral,3.0,36.8,36.8,36.8,34.0,28.5,14.6
iShares,HAWX,iShares Currency Hedged MSCI ACWI ex U.S. ETF,5,Low,Bronze,2.0,36.7,36.7,36.7,36.7,36.7,35.2
iShares,USXF,iShares® ESG Advanced MSCI USA ETF,4,Below Average,Silver,5.0,35.7,35.7,35.7,39.5,40.2,23.2
Morgan Stanley,EVMO,Eaton Vance Mortgage Opportunities ETF,4,Average,,,35.6,35.6,35.6,35.6,44.7,21.9
iShares,LQDB,iShares BBB Rated Corporate Bond ETF,4,Average,Bronze,3.0,35.4,35.4,35.4,35.4,35.4,35.4
JPMorgan,JPUS,JPMorgan Diversified Return U.S. Equity ETF,5,Low,Bronze,3.0,34.3,34.3,34.3,34.3,34.3,52.7
iShares,IHE,iShares U.S. Pharmaceuticals ETF,4,Average,Neutral,2.0,34.1,34.1,34.1,30.8,39.5,53.7
